Time,Lat,Lon,Heading,TargetDist,TargetBear,MotorL,MotorR,Fix
1765531376.58,0,0,299.94,0.00,0.00,0.00,0.00,0
1765531376.79,0,0,299.94,0.00,0.00,0.00,0.00,0
1765531377.00,0,0,299.00,0.00,0.00,0.00,0.00,0
1765531377.21,0,0,298.06,0.00,0.00,0.00,0.00,0
1765531377.42,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531377.63,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531377.83,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531378.04,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531378.25,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531378.46,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531378.67,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531378.88,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531379.09,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531379.30,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531379.51,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531379.72,0,0,298.38,0.00,0.00,0.00,0.00,0
1765531379.93,0,0,298.56,0.00,0.00,0.00,0.00,0
1765531380.14,0,0,298.69,0.00,0.00,0.00,0.00,0
1765531380.35,0,0,298.62,0.00,0.00,0.00,0.00,0
1765531380.56,0,0,298.62,0.00,0.00,0.00,0.00,0
1765531380.77,0,0,298.62,0.00,0.00,0.00,0.00,0
1765531380.98,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531381.19,0,0,299.06,0.00,0.00,0.00,0.00,0
1765531381.40,0,0,298.75,0.00,0.00,0.00,0.00,0
1765531381.61,0,0,298.81,0.00,0.00,0.00,0.00,0
1765531381.82,0,0,298.88,0.00,0.00,0.00,0.00,0
1765531382.02,0,0,298.75,0.00,0.00,0.00,0.00,0
1765531382.23,0,0,299.38,0.00,0.00,0.00,0.00,0
1765531382.44,0,0,299.69,0.00,0.00,0.00,0.00,0
1765531382.65,0,0,299.69,0.00,0.00,0.00,0.00,0
1765531382.86,0,0,299.81,0.00,0.00,0.00,0.00,0
1765531383.06,0,0,299.88,0.00,0.00,0.00,0.00,0
1765531383.27,0,0,300.12,0.00,0.00,0.00,0.00,0
1765531383.48,0,0,298.06,0.00,0.00,0.00,0.00,0
1765531383.69,0,0,298.06,0.00,0.00,0.00,0.00,0
1765531383.90,0,0,298.25,0.00,0.00,0.00,0.00,0
1765531384.11,0,0,298.69,0.00,0.00,0.00,0.00,0
1765531384.32,0,0,300.56,0.00,0.00,0.00,0.00,0
1765531384.52,0,0,300.69,0.00,0.00,0.00,0.00,0
1765531384.73,0,0,300.69,0.00,0.00,0.00,0.00,0
1765531384.94,0,0,300.69,0.00,0.00,0.00,0.00,0
1765531385.15,0,0,300.62,0.00,0.00,0.00,0.00,0
1765531385.36,0,0,300.69,0.00,0.00,0.00,0.00,0
1765531385.57,0,0,300.69,0.00,0.00,0.00,0.00,0
1765531385.78,0,0,-1746.62,0.00,0.00,0.00,0.00,0
1765531385.99,0,0,301.50,0.00,0.00,0.00,0.00,0
1765531386.20,0,0,301.50,0.00,0.00,0.00,0.00,0
1765531386.42,0,0,301.44,0.00,0.00,0.00,0.00,0
1765531386.62,0,0,301.50,0.00,0.00,0.00,0.00,0
1765531386.83,0,0,301.50,0.00,0.00,0.00,0.00,0
1765531387.04,0,0,301.56,0.00,0.00,0.00,0.00,0
1765531387.25,0,0,301.56,0.00,0.00,0.00,0.00,0
1765531387.46,0,0,301.56,0.00,0.00,0.00,0.00,0
1765531387.67,0,0,301.56,0.00,0.00,0.00,0.00,0
1765531387.88,0,0,301.56,0.00,0.00,0.00,0.00,0
1765531388.09,0,0,301.56,0.00,0.00,0.00,0.00,0
1765531388.29,0,0,301.56,0.00,0.00,0.00,0.00,0
